date_utc,lead,status,right_0_3_bipolar_ohm,right_0_3idx_ohm
1762622493.0,LEAD_B33015,GOOD,3820.0,4363.0
1762639601.0,LEAD_B33015,GOOD,3892.0,4353.0
1762717853.0,LEAD_B33015,GOOD,3689.0,4062.0
1762798949.0,LEAD_B33015,GOOD,3573.0,3899.0
1762908692.0,LEAD_B33015,GOOD,3646.0,4153.0
1762968912.0,LEAD_B33015,GOOD,3791.0,4400.0
1763054001.0,LEAD_B33015,GOOD,3925.0,4244.0
1763225834.0,LEAD_B33015,GOOD,3878.0,3867.0
1763238363.0,LEAD_B33015,GOOD,3928.0,3928.0
1763342173.0,LEAD_B33015,GOOD,3138.0,2906.0
1763402465.0,LEAD_B33015,GOOD,3515.0,3153.0
1763428962.0,LEAD_B33015,GOOD,3704.0,3254.0
1763500000.0,LEAD_B33015,GOOD,4004.0,3588.0
1763515997.0,LEAD_B33015,GOOD,4088.0,3776.0
1763579276.0,LEAD_B33015,GOOD,3791.0,3327.0
1763659865.0,LEAD_B33015,GOOD,3921.0,3631.0
1763763523.0,LEAD_B33015,GOOD,3138.0,2805.0
1763831219.0,LEAD_B33015,GOOD,3501.0,3457.0
1763848028.0,LEAD_B33015,GOOD,3747.0,3689.0
1763861809.0,LEAD_B33015,GOOD,3443.0,3327.0
1763924344.0,LEAD_B33015,GOOD,3805.0,3602.0
1763939991.0,LEAD_B33015,GOOD,3080.0,2790.0
1764002990.0,LEAD_B33015,GOOD,3153.0,3037.0
1764023051.0,LEAD_B33015,GOOD,3370.0,3167.0
1764089956.0,LEAD_B33015,GOOD,3399.0,3283.0
1764124244.0,LEAD_B33015,GOOD,3718.0,3675.0
1764177768.0,LEAD_B33015,GOOD,3689.0,3791.0
1764207005.0,LEAD_B33015,GOOD,3559.0,3501.0
1764268681.0,LEAD_B33015,GOOD,3747.0,3617.0
1764451529.0,LEAD_B33015,GOOD,3588.0,3414.0
1764520897.0,LEAD_B33015,GOOD,3892.0,3631.0
1764542838.0,LEAD_B33015,GOOD,3907.0,3675.0
1764613161.0,LEAD_B33015,GOOD,3747.0,3617.0
1764639245.0,LEAD_B33015,GOOD,3675.0,3602.0
1764697775.0,LEAD_B33015,GOOD,3972.0,3791.0
1764789006.0,LEAD_B33015,GOOD,3327.0,3080.0
1764793225.0,LEAD_B33015,GOOD,3385.0,3153.0
1764870500.0,LEAD_B33015,GOOD,3211.0,3167.0
1764894971.0,LEAD_B33015,GOOD,3254.0,3283.0
1764948711.0,LEAD_B33015,GOOD,3370.0,3240.0
1764969043.0,LEAD_B33015,GOOD,3588.0,3341.0
1765057604.0,LEAD_B33015,INVESTIGATE,3515.0,3341.0
1765072645.0,LEAD_B33015,INVESTIGATE,3544.0,3414.0
1765124028.0,LEAD_B33015,GOOD,3530.0,3399.0
1765160373.0,LEAD_B33015,INVESTIGATE,3051.0,2979.0
1765325026.0,LEAD_B33015,GOOD,3080.0,3240.0
1765388900.0,LEAD_B33015,GOOD,3298.0,3269.0
1765420448.0,LEAD_B33015,GOOD,3022.0,3240.0
1765466842.0,LEAD_B33015,GOOD,3457.0,3501.0
1765505649.0,LEAD_B33015,INVESTIGATE,3791.0,3689.0
1765558596.0,LEAD_B33015,INVESTIGATE,3805.0,3921.0
1765589016.0,LEAD_B33015,INVESTIGATE,3834.0,3994.0
1765640421.0,LEAD_B33015,INVESTIGATE,3762.0,4059.0
1765658524.0,LEAD_B33015,INVESTIGATE,3820.0,4033.0
1765761690.0,LEAD_B33015,INVESTIGATE,3936.0,3990.0
1766003127.0,LEAD_B33015,GOOD,4120.0,3899.0
1766095970.0,LEAD_B33015,INVESTIGATE,4004.0,4008.0
1766109592.0,LEAD_B33015,INVESTIGATE,3979.0,3943.0
1766168645.0,LEAD_B33015,INVESTIGATE,3689.0,3936.0
1766189092.0,LEAD_B33015,INVESTIGATE,3820.0,3921.0
1766195814.0,LEAD_B33015,INVESTIGATE,3878.0,3834.0
1766251492.0,LEAD_B33015,INVESTIGATE,3486.0,3965.0
1766270571.0,LEAD_B33015,GOOD,3037.0,3530.0
1766281737.0,LEAD_B33015,INVESTIGATE,3385.0,3776.0
1766333256.0,LEAD_B33015,GOOD,2717.0,3124.0
1766421762.0,LEAD_B33015,GOOD,3240.0,3907.0
1766455553.0,LEAD_B33015,INVESTIGATE,3530.0,3975.0
1766505810.0,LEAD_B33015,INVESTIGATE,3747.0,3990.0
1766540569.0,LEAD_B33015,INVESTIGATE,3733.0,4124.0
1766593474.0,LEAD_B33015,INVESTIGATE,3936.0,4440.0
1766619184.0,LEAD_B33015,INVESTIGATE,3994.0,4516.0
1766680040.0,LEAD_B33015,INVESTIGATE,4059.0,4545.0
1766704052.0,LEAD_B33015,GOOD,4128.0,4570.0
1766766184.0,LEAD_B33015,INVESTIGATE,3747.0,4541.0
1766791576.0,LEAD_B33015,INVESTIGATE,3820.0,4505.0
1766854616.0,LEAD_B33015,GOOD,3515.0,4316.0
1766884582.0,LEAD_B33015,GOOD,3675.0,4374.0
1766946733.0,LEAD_B33015,GOOD,3805.0,4487.0
1766972910.0,LEAD_B33015,GOOD,3943.0,4621.0
1767118758.0,LEAD_B33015,INVESTIGATE,3312.0,4327.0
1767146053.0,LEAD_B33015,INVESTIGATE,3327.0,4247.0
1767197980.0,LEAD_B33015,GOOD,3327.0,3994.0
1767233555.0,LEAD_B33015,GOOD,2732.0,3399.0
1767289745.0,LEAD_B33015,GOOD,3109.0,3892.0
1767317991.0,LEAD_B33015,GOOD,3370.0,4070.0
1767375429.0,LEAD_B33015,GOOD,3718.0,4483.0
1767391388.0,LEAD_B33015,GOOD,3820.0,4545.0
1767463757.0,LEAD_B33015,GOOD,3932.0,4795.0
1767491968.0,LEAD_B33015,GOOD,3240.0,4099.0
1767562282.0,LEAD_B33015,GOOD,3892.0,4664.0
1767630030.0,LEAD_B33015,GOOD,3472.0,4697.0
1767640219.0,LEAD_B33015,GOOD,3501.0,4708.0
1767642534.0,LEAD_B33015,GOOD,3515.0,4835.0
1767667532.0,LEAD_B33015,GOOD,3675.0,4962.0
1767721922.0,LEAD_B33015,GOOD,3675.0,5016.0
1767752585.0,LEAD_B33015,INVESTIGATE,3631.0,4835.0
1767816974.0,LEAD_B33015,GOOD,3660.0,4454.0
1767924046.0,LEAD_B33015,INVESTIGATE,3907.0,4657.0
1767982392.0,LEAD_B33015,GOOD,3385.0,4458.0
1768008041.0,LEAD_B33015,GOOD,3182.0,4001.0
1768150996.0,LEAD_B33015,INVESTIGATE,3994.0,4723.0
1768241155.0,LEAD_B33015,INVESTIGATE,4229.0,4969.0
1768270182.0,LEAD_B33015,GOOD,4081.0,4936.0
1768329400.0,LEAD_B33015,INVESTIGATE,4070.0,4994.0
1768355523.0,LEAD_B33015,INVESTIGATE,4160.0,5063.0
1768411121.0,LEAD_B33015,INVESTIGATE,4193.0,5042.0
1768445152.0,LEAD_B33015,INVESTIGATE,4124.0,4650.0
1768500068.0,LEAD_B33015,INVESTIGATE,4052.0,4701.0
1768524832.0,LEAD_B33015,INVESTIGATE,3997.0,4737.0
1768585882.0,LEAD_B33015,GOOD,3428.0,4501.0
1768673011.0,LEAD_B33015,INVESTIGATE,3312.0,4233.0
1768687993.0,LEAD_B33015,INVESTIGATE,3472.0,4327.0
1768700449.0,LEAD_B33015,GOOD,3559.0,4414.0
1768756299.0,LEAD_B33015,GOOD,3443.0,4338.0
1768781040.0,LEAD_B33015,INVESTIGATE,3646.0,4516.0
1768841485.0,LEAD_B33015,INVESTIGATE,3718.0,4610.0
1768873509.0,LEAD_B33015,GOOD,3979.0,4828.0
1768932248.0,LEAD_B33015,INVESTIGATE,3617.0,4505.0
1769015102.0,LEAD_B33015,INVESTIGATE,3863.0,4628.0
1769031904.0,LEAD_B33015,INVESTIGATE,3943.0,4788.0
1769103136.0,LEAD_B33015,INVESTIGATE,3733.0,4545.0
1769132519.0,LEAD_B33015,INVESTIGATE,3211.0,4186.0
1769188163.0,LEAD_B33015,INVESTIGATE,3559.0,4548.0
1769215820.0,LEAD_B33015,INVESTIGATE,3820.0,4603.0
1769220494.0,LEAD_B33015,INVESTIGATE,3820.0,4632.0
1769363587.0,LEAD_B33015,INVESTIGATE,4150.0,5082.0
1769376015.0,LEAD_B33015,INVESTIGATE,4298.0,5089.0
1769462337.0,LEAD_B33015,INVESTIGATE,4037.0,5201.0
1769477505.0,LEAD_B33015,INVESTIGATE,3936.0,5190.0
1769621909.0,LEAD_B33015,INVESTIGATE,3617.0,4715.0
1769637779.0,LEAD_B33015,INVESTIGATE,3834.0,4795.0
1769651770.0,LEAD_B33015,INVESTIGATE,3917.0,4842.0
1769706710.0,LEAD_B33015,GOOD,3921.0,4976.0
1769723041.0,LEAD_B33015,INVESTIGATE,3965.0,4998.0
1769795772.0,LEAD_B33015,INVESTIGATE,3961.0,5078.0
1769812484.0,LEAD_B33015,INVESTIGATE,4033.0,5067.0
1769996375.0,LEAD_B33015,INVESTIGATE,3957.0,5190.0
1770057411.0,LEAD_B33015,INVESTIGATE,4041.0,5013.0
1770082650.0,LEAD_B33015,INVESTIGATE,3983.0,5140.0
1770141787.0,LEAD_B33015,INVESTIGATE,2863.0,4117.0
1770149420.0,LEAD_B33015,GOOD,2938.0,4095.0
1770227896.0,LEAD_B33015,INVESTIGATE,3153.0,3954.0
1770248150.0,LEAD_B33015,INVESTIGATE,3341.0,4015.0
1770255630.0,LEAD_B33015,INVESTIGATE,3472.0,4124.0
1770312571.0,LEAD_B33015,INVESTIGATE,3950.0,4610.0
1770327900.0,LEAD_B33015,INVESTIGATE,3994.0,4621.0
1770343282.0,LEAD_B33015,INVESTIGATE,3986.0,4661.0
1770400103.0,LEAD_B33015,INVESTIGATE,4084.0,4871.0
1770414426.0,LEAD_B33015,INVESTIGATE,4146.0,4973.0
1770429227.0,LEAD_B33015,INVESTIGATE,4215.0,5092.0
1770487908.0,LEAD_B33015,INVESTIGATE,4012.0,5212.0
1770501690.0,LEAD_B33015,INVESTIGATE,4070.0,5270.0
1770572895.0,LEAD_B33015,INVESTIGATE,3903.0,4980.0
1770584432.0,LEAD_B33015,INVESTIGATE,4037.0,5063.0
1770602125.0,LEAD_B33015,INVESTIGATE,4092.0,5136.0
1770660390.0,LEAD_B33015,INVESTIGATE,4204.0,4625.0
1770673510.0,LEAD_B33015,INVESTIGATE,4182.0,4766.0
1770689836.0,LEAD_B33015,INVESTIGATE,4142.0,4915.0
1770749105.0,LEAD_B33015,INVESTIGATE,4073.0,5009.0
