cut,n,mean_log10_gain,sd,trend_log10_per_month,trend_pvalue,stationary
2025-12-05,57,1.775,0.417,-0.0784,0.0393,no
2026-01-15,54,1.757,0.372,-0.0696,0.0713,yes
2026-02-01,54,1.757,0.372,-0.0696,0.0713,yes
2026-02-15,47,1.708,0.372,-0.018,0.7147,yes
2026-02-26,42,1.693,0.32,0.0057,0.911,yes
2026-03-01,42,1.693,0.32,0.0057,0.911,yes
