metric,channel,center,band_lo,band_hi,n,n_low,n_high,n_ratings,r,p_pearson,cohens_d,logit_beta,p_logit_cluster
nrs,ONE_THREE_LEFT,43.5,41.0,46.0,90,34,45,47,-0.24617464290096863,0.01934118811043182,-0.47189382,-0.7535283896334815,0.12887464526008724
nrs,ONE_THREE_LEFT,44.5,42.0,47.0,90,34,45,47,-0.3139512151322963,0.0025838124839489725,-0.61236924,-0.9837498331157991,0.04903026926147355
nrs,ONE_THREE_LEFT,45.5,43.0,48.0,90,34,45,47,-0.3033138889760454,0.0036601549486236546,-0.59830815,-0.9311790149324985,0.05351393730371419
nrs,ONE_THREE_LEFT,46.5,44.0,49.0,90,34,45,47,-0.3016779780022215,0.003857231819507739,-0.6023471,-0.9057672962652389,0.06918717620678026
nrs,ONE_THREE_LEFT,47.5,45.0,50.0,90,34,45,47,-0.35224966996999535,0.0006620236381653156,-0.72332865,-1.0417943482726062,0.037124833930317805
nrs,ONE_THREE_LEFT,48.5,46.0,51.0,90,34,45,47,-0.3125204097400867,0.002709711498188626,-0.63626677,-0.8800252524308728,0.07029259776549042
nrs,ONE_THREE_LEFT,49.5,47.0,52.0,90,34,45,47,-0.2942828715566754,0.004871398757909206,-0.58881456,-0.7867848375865191,0.08931132587592405
nrs,ONE_THREE_LEFT,50.5,48.0,53.0,90,34,45,47,-0.32775699474346154,0.0016132366219942333,-0.63101494,-0.8613521065377449,0.0928009850003959
nrs,ONE_THREE_LEFT,51.5,49.0,54.0,90,34,45,47,-0.333877623945557,0.0013000027640417088,-0.6581577,-0.913672400477879,0.06444810310594733
nrs,ONE_THREE_LEFT,52.5,50.0,55.0,90,34,45,47,-0.3270495396026559,0.0016535299182940935,-0.6491868,-0.9045644701139036,0.06238244364033467
nrs,ONE_THREE_LEFT,53.5,51.0,56.0,90,34,45,47,-0.39706122121638415,0.0001067316257937568,-0.75135887,-1.0735911227758763,0.025112948322494413
nrs,ONE_THREE_LEFT,54.5,52.0,57.0,90,34,45,47,-0.4144853506113432,4.8769481138355286e-05,-0.79795617,-1.1726561713870196,0.01269407460647493
nrs,ONE_THREE_LEFT,55.5,53.0,58.0,90,34,45,47,-0.393683332335324,0.00012361890749555156,-0.7528065,-1.2166507779504487,0.014905492015190949
nrs,ONE_THREE_LEFT,56.5,54.0,59.0,90,34,45,47,-0.4175272665752678,4.234649054535806e-05,-0.7649765,-1.2682136121234817,0.01702304871536572
nrs,ONE_THREE_LEFT,57.5,55.0,60.0,90,34,45,47,-0.43962418407544057,1.4560842915239978e-05,-0.8143646,-1.4726278903759964,0.01593828543009169
nrs,ONE_THREE_LEFT,58.5,56.0,61.0,90,34,45,47,-0.4169780362855161,4.344447890799934e-05,-0.76924235,-1.3434064969828845,0.024895959591372373
nrs,ONE_THREE_LEFT,59.5,57.0,62.0,90,34,45,47,-0.4105966323228009,5.83039210670785e-05,-0.7432593,-1.2697814140032249,0.02451001329689253
nrs,ONE_THREE_LEFT,60.5,58.0,63.0,90,34,45,47,-0.3962809982862229,0.00011043040609701871,-0.7233314,-1.1043203850177286,0.025747535626824164
nrs,ONE_THREE_LEFT,61.5,59.0,64.0,90,34,45,47,-0.3777447480064815,0.00024209294534838956,-0.7326471,-1.1971561440653344,0.032111670946582856
nrs,ONE_THREE_LEFT,62.5,60.0,65.0,90,34,45,47,-0.34231402881773854,0.0009584365162249118,-0.68712056,-1.1549407880579836,0.05223634158059807
nrs,ONE_THREE_LEFT,63.5,61.0,66.0,90,34,45,47,-0.3230546189937753,0.001898628985605394,-0.6661985,-1.1481300139412023,0.08341688898045137
nrs,ONE_THREE_LEFT,64.5,62.0,67.0,90,34,45,47,-0.31126622767193096,0.002824570420844184,-0.6235162,-1.036854281170901,0.07546654575323122
nrs,ONE_THREE_LEFT,65.5,63.0,68.0,90,34,45,47,-0.31396794850100945,0.002582371714417022,-0.63227445,-1.147146391887584,0.07032134632037143
nrs,ONE_THREE_LEFT,66.5,64.0,69.0,90,34,45,47,-0.3059927298250831,0.0033568091040923143,-0.58984756,-1.1127310296693054,0.10994675618628287
nrs,ONE_THREE_LEFT,67.5,65.0,70.0,90,34,45,47,-0.2884639745601089,0.0058293830400859056,-0.55485946,-1.0143985238298114,0.09477303377706488
nrs,ONE_THREE_LEFT,68.5,66.0,71.0,90,34,45,47,-0.2893720501234662,0.0056696801889701606,-0.5165184,-0.949747104968521,0.0806081559897606
nrs,ONE_THREE_LEFT,69.5,67.0,72.0,90,34,45,47,-0.24205129397151134,0.021533679637137464,-0.44905517,-0.8742244910916911,0.1455344040780195
nrs,ONE_THREE_LEFT,70.5,68.0,73.0,90,34,45,47,-0.26569726845217917,0.011371829860558827,-0.44481352,-0.8439398803189623,0.14527808800819048
nrs,ONE_THREE_LEFT,71.5,69.0,74.0,90,34,45,47,-0.3055661607445305,0.0034035538858965507,-0.5050578,-0.9717108255851031,0.08276631031112033
nrs,ONE_THREE_LEFT,72.5,70.0,75.0,90,34,45,47,-0.25271464162738905,0.016257013336627647,-0.34858218,-0.666906857784814,0.23540483050815997
nrs,ONE_THREE_LEFT,73.5,71.0,76.0,90,34,45,47,-0.2855202108172574,0.006374847365154951,-0.45106962,-0.8751578588971533,0.12276110640954747
nrs,ONE_THREE_LEFT,74.5,72.0,77.0,90,34,45,47,-0.25336057223311576,0.015976832115917453,-0.40590888,-0.7764364983515757,0.14734765699858385
nrs,ONE_THREE_LEFT,75.5,73.0,78.0,90,34,45,47,-0.23658280236769816,0.024766788197856524,-0.3888219,-0.736204571614909,0.1574386635570053
nrs,ONE_THREE_LEFT,76.5,74.0,79.0,90,34,45,47,-0.20319598055866347,0.05475311191247847,-0.3843754,-0.7771991279718622,0.17139871215484448
nrs,ONE_THREE_LEFT,77.5,75.0,80.0,90,34,45,47,-0.19658447883013375,0.0633026263844942,-0.39537674,-0.7889419941031293,0.16667247745472624
nrs,ONE_THREE_LEFT,78.5,76.0,81.0,90,34,45,47,-0.08953214044243935,0.4013623527728983,-0.22083315,-0.43011885166247094,0.4383844542471186
nrs,ONE_THREE_LEFT,79.5,77.0,82.0,90,34,45,47,-0.16275167705405094,0.12536124983146768,-0.3764609,-0.7167165642803481,0.15899132154052464
nrs,ONE_THREE_LEFT,80.5,78.0,83.0,90,34,45,47,-0.1691771156153931,0.11092859162814053,-0.38801253,-0.7240193862221084,0.13687418195822365
nrs,ONE_THREE_LEFT,81.5,79.0,84.0,90,34,45,47,-0.1683415301219875,0.11272899911843282,-0.39030382,-0.7067353433638781,0.15947206671841785
nrs,ONE_THREE_LEFT,82.5,80.0,85.0,90,34,45,47,-0.18229585396232378,0.0854911359865762,-0.44371337,-0.8979441032631545,0.08938292090619482
nrs,ONE_THREE_LEFT,83.5,81.0,86.0,90,34,45,47,-0.2156899672577987,0.041180212321099245,-0.4994735,-1.0793319526631457,0.06108551198944319
nrs,ONE_THREE_LEFT,84.5,82.0,87.0,90,34,45,47,-0.19254758091164315,0.06903560840775369,-0.4144443,-0.8863228284997393,0.1368223107582942
nrs,ONE_THREE_LEFT,85.5,83.0,88.0,90,34,45,47,-0.18462713582369256,0.08149919839277864,-0.420846,-0.9404740499673953,0.09984316773248131
nrs,ONE_THREE_LEFT,86.5,84.0,89.0,90,34,45,47,-0.18320874492571781,0.0839098444267316,-0.3926351,-0.793350337523733,0.08575984935021781
nrs,ONE_THREE_LEFT,87.5,85.0,90.0,90,34,45,47,-0.1775996164548889,0.09400343675529944,-0.34737697,-0.6589934368125876,0.12796876910611166
nrs,ONE_THREE_LEFT,88.5,86.0,91.0,90,34,45,47,-0.14656569591808413,0.1680598832751993,-0.30948237,-0.6540683277551667,0.2015339221148339
nrs,ONE_THREE_LEFT,89.5,87.0,92.0,90,34,45,47,-0.1254226461462492,0.2388407960960211,-0.26457617,-0.5886341138952512,0.2639403659429902
