metric,channel,peak_center,band_lo,band_hi,run_lo,run_hi,run_width,r,cohens_d,p_logit,q_logit,n,n_ratings
composite_mpq_leftleg,ZERO_THREE_LEFT,34.5,32.0,37.0,34.5,34.5,1,-0.32183317702691305,-0.640837,0.03738741968284662,0.3423312059261147,86,32
composite_mpq_leftleg,ZERO_TWO_LEFT,54.5,52.0,57.0,54.5,54.5,1,-0.4780093011213853,-1.0096918,0.039421403491105095,0.3423312059261147,79,31
composite_mpq_leftleg,ZERO_THREE_LEFT,42.5,40.0,45.0,42.5,43.5,2,-0.3767330344743462,-0.9875792,0.041242036107287695,0.3423312059261147,86,32
composite_mpq_leftleg,ONE_THREE_RIGHT,53.5,51.0,56.0,53.5,53.5,1,-0.2625236126190166,-0.44156563,0.04131782740049678,0.3423312059261147,73,27
composite_mpq_leftleg,ZERO_TWO_RIGHT,77.5,75.0,80.0,77.5,77.5,1,-0.1985899548985098,-0.5266058,0.04140957083919465,0.3423312059261147,73,27
composite_mpq_leftleg,ONE_THREE_RIGHT,57.5,55.0,60.0,56.5,57.5,2,-0.25618063620594334,-0.5508972,0.04201362788621413,0.3423312059261147,73,27
composite_mpq_leftleg,ZERO_TWO_RIGHT,37.5,35.0,40.0,37.5,37.5,1,-0.31179695462741125,-0.6175915,0.04325412384095787,0.3423312059261147,73,27
composite_mpq_leftleg,ZERO_TWO_LEFT,57.5,55.0,60.0,57.5,57.5,1,-0.4234880570200187,-0.77379185,0.0449367050302385,0.3423312059261147,79,31
composite_mpq_leftleg,ONE_THREE_LEFT,9.5,7.0,12.0,9.5,10.5,2,-0.4236657171403082,-1.0026658,0.04508547639142038,0.3423312059261147,90,35
composite_mpq_leftleg,ONE_THREE_LEFT,13.5,11.0,16.0,13.5,14.5,2,-0.3547635913529959,-0.8723371,0.046187917885894846,0.3423312059261147,90,35
composite_mpq_leftleg,ZERO_TWO_RIGHT,40.5,38.0,43.0,40.5,40.5,1,-0.24007041815468594,-0.5437683,0.048079073489224515,0.3423312059261147,73,27
composite_mpq_leftleg,ONE_THREE_LEFT,6.5,4.0,9.0,6.5,6.5,1,-0.4438983507807165,-0.99943554,0.049022807721787284,0.3423312059261147,90,35
composite_mpq_leftleg,ZERO_THREE_LEFT,36.5,34.0,39.0,36.5,36.5,1,-0.30592975906899134,-0.67152196,0.04957622014241234,0.3423312059261147,86,32
left_leg_vas,ONE_THREE_LEFT,23.5,21.0,26.0,21.5,28.5,8,0.47420610467134444,1.3563203,0.0006047954093741635,0.12211899058526479,65,25
left_leg_vas,ZERO_TWO_LEFT,39.5,37.0,42.0,33.5,40.5,8,-0.43089388661862255,-1.2609028,0.0075752715284486995,0.2701804366229898,56,23
left_leg_vas,ZERO_TWO_LEFT,87.5,85.0,90.0,85.5,93.5,9,-0.43930812609828157,-1.2651274,0.00825442124022518,0.2701804366229898,56,23
left_leg_vas,ZERO_THREE_LEFT,70.5,68.0,73.0,70.5,73.5,4,-0.3586119129148189,-1.0173199,0.008373093868318734,0.2701804366229898,63,23
left_leg_vas,ZERO_THREE_LEFT,23.5,21.0,26.0,21.5,24.5,4,0.35797151269848837,0.9334556,0.011018162207802239,0.2705823701551091,63,23
left_leg_vas,ZERO_TWO_LEFT,98.5,96.0,101.0,98.5,98.5,1,-0.29210174815844014,-0.81535214,0.01634770017060666,0.34948233742146284,56,23
