channel,t_psd,center_hz,psd_bandpower_uV2,lsb_nearest,offset_s
ZERO_THREE_RIGHT,1752695229.0,24.4,0.2880228266248652,54.0,171.0
ZERO_THREE_RIGHT,1752695469.0,24.4,0.4055532695658465,54.0,-69.0
ZERO_THREE_RIGHT,1752695969.75,24.4,0.19752599492413747,55.0,30.25
ZERO_THREE_RIGHT,1752713293.0,24.4,0.2323563062809451,54.0,107.0
ZERO_THREE_RIGHT,1752713546.0,24.4,0.3058978474146187,54.0,-146.0
ZERO_THREE_RIGHT,1752713860.0,24.4,0.23559812771221844,55.0,140.0
ZERO_THREE_RIGHT,1752714370.25,24.4,0.25045903767810196,54.0,229.75
ZERO_THREE_RIGHT,1752715072.75,24.4,0.2126326824941029,55.0,127.25
ZERO_THREE_RIGHT,1753054315.0,13.7,1.280411449148318,134.0,-14345.0
ZERO_THREE_RIGHT,1753054414.55,13.7,0.8323603040029148,134.0,-14444.549999952316
ZERO_THREE_RIGHT,1753291811.0,13.7,0.591136283138068,156.0,-1786.0
ZERO_THREE_RIGHT,1753291949.2,13.7,0.6828033660391548,156.0,-1924.2000000476837
ZERO_THREE_RIGHT,1753389184.0,13.7,0.7786836240601349,157.0,-1307.0
ZERO_THREE_RIGHT,1753389245.95,13.7,0.6847795939733534,157.0,-1368.9500000476837
ZERO_THREE_RIGHT,1753479823.0,13.7,1.3955937728433365,188.0,-5042.0
ZERO_THREE_RIGHT,1753479886.45,13.7,1.098441246164974,188.0,-5105.450000047684
ZERO_THREE_RIGHT,1753545330.0,13.7,0.7011461545703707,163.0,-2191.0
ZERO_THREE_RIGHT,1753545387.2,13.7,0.9424762053802086,163.0,-2248.2000000476837
ZERO_THREE_RIGHT,1753625590.0,13.7,0.8500775620958827,163.0,-82451.0
ZERO_THREE_RIGHT,1753625657.15,13.7,0.5663780395913314,163.0,-82518.15000009537
ZERO_THREE_RIGHT,1753629630.6,13.7,0.6144604589867837,163.0,-86491.59999990463
ZERO_THREE_RIGHT,1753715438.0,13.7,0.6775457287276968,163.0,-172299.0
