contact,rate_hz,margin_s,n_points,n_runs,slope,se
R 0-3+,110.0,10,23,7,0.7594652579856632,5.0805323536164275
R 0-3+,110.0,12,23,7,0.7594652579856632,5.0805323536164275
R 0-3+,110.0,14,22,7,0.7694633625121629,5.299104430742042
R 0-3+,110.0,16,21,7,-0.20166406903840758,5.098785436709419
R 0-3+,110.0,18,21,7,-0.20166406903840758,5.098785436709419
R 0-3+,110.0,20,21,7,-0.20166406903840758,5.098785436709419
R 0-3+,145.0,0,5,1,9.758680851449345,6.449639592345468
R 0-3+,145.0,2,5,1,9.758680851449345,6.449639592345468
R 0-3+,145.0,4,5,1,9.758680851449345,6.449639592345468
R 0-3+,145.0,6,5,1,9.758680851449345,6.449639592345468
R 0-3+,145.0,8,4,1,13.422216318799013,4.1981701979892705
R 0-3+,145.0,10,4,1,13.422216318799013,4.1981701979892705
R 0-3+,145.0,12,4,1,13.422216318799013,4.1981701979892705
R 0-3+,145.0,14,4,1,13.422216318799013,4.1981701979892705
R 0-3+,145.0,16,4,1,13.422216318799013,4.1981701979892705
R 0-3+,145.0,18,4,1,13.422216318799013,4.1981701979892705
R 0-3+,145.0,20,4,1,13.422216318799013,4.1981701979892705
