survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,19.5,0.381494,1.4841
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,20.5,0.313474,1.38531
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,21.5,0.193285,1.25182
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,22.5,0.196883,1.15889
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,23.5,0.214759,1.08565
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,24.5,0.200209,0.956804
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,25.5,0.179324,0.8015
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,26.5,0.144748,0.736867
2025-07-16T19:44:39Z,ZERO_ONE_LEFT,27.5,0.127619,0.664563
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,7.5,7.15047,26.3067
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,8.5,5.92647,20.7118
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,9.5,4.18882,15.8927
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,10.5,2.87068,12.9928
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,11.5,2.49192,11.3274
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,12.5,1.77119,10.1293
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,13.5,1.67996,8.83263
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,14.5,1.21772,7.7623
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,15.5,1.23468,6.81079
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,16.5,1.14432,5.86959
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,17.5,1.01552,4.88793
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,18.5,0.946281,4.03602
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,19.5,0.850096,3.34667
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,20.5,0.825614,2.82771
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,21.5,0.65316,2.43531
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,22.5,0.546573,2.09459
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,23.5,0.412052,1.79703
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,24.5,0.345384,1.64061
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,25.5,0.262435,1.45107
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,26.5,0.221065,1.17526
2025-07-16T19:44:39Z,ZERO_THREE_LEFT,27.5,0.230886,1.03299
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,7.5,3.86114,17.5361
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,8.5,3.32521,14.4445
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,9.5,2.17909,11.1297
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,10.5,2.02609,9.1423
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,11.5,1.64408,8.31336
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,12.5,1.49287,7.88952
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,13.5,1.22922,7.1191
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,14.5,0.962781,6.24937
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,15.5,0.949265,5.24076
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,16.5,0.746614,4.30007
2025-07-16T19:44:39Z,ZERO_TWO_LEFT,17.5,0.629719,3.39134
